,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,trade_date,turnover_rate_f,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,free_share,circ_mv
0,000938.SZ,20201207,23.13,23.19,22.52,22.53,23.07,-0.54,-2.3407,233617.32,532230.579,20201207,1.9276,0.86,33.9667,2.2116,1.1205,0.4756,121193.9031,6443759.9561
1,000938.SZ,20201204,22.9,23.08,22.74,23.07,22.96,0.11,0.4791,180218.66,413297.932,20201204,1.487,0.67,34.7808,2.2646,1.1474,0.4644,121193.9031,6598204.2693
2,000938.SZ,20201203,23.19,23.29,22.82,22.96,23.18,-0.22,-0.9491,239491.65,551019.071,20201203,1.9761,0.91,34.615,2.2538,1.1419,0.4667,121193.9031,6566743.3907
3,000938.SZ,20201202,22.71,23.35,22.58,23.18,22.68,0.5,2.2046,382853.81,880970.521,20201202,3.159,1.61,34.9466,2.2754,1.1529,0.4622,121193.9031,6629665.1479
4,000938.SZ,20201201,22.25,22.78,22.19,22.68,22.36,0.32,1.4311,319329.06,722015.761,20201201,2.6349,1.42,34.1928,2.2264,1.128,0.4724,121193.9031,6486661.1542
5,000938.SZ,20201130,22.02,22.37,21.86,22.36,21.9,0.46,2.1005,239499.34,531710.753,20201130,1.9762,1.04,33.7104,2.1949,1.1121,0.4792,121193.9031,6395138.5983
6,000938.SZ,20201127,21.96,22.15,21.67,21.9,21.93,-0.03,-0.1368,164545.56,359641.278,20201127,1.3577,0.67,33.0169,2.1498,1.0892,0.4892,121193.9031,6263574.9241
7,000938.SZ,20201126,22.22,22.35,21.85,21.93,22.22,-0.29,-1.3051,203407.33,448417.024,20201126,1.6784,0.8,33.0621,2.1527,1.0907,0.4886,121193.9031,6272155.1637
8,000938.SZ,20201125,22.63,22.78,22.17,22.22,22.58,-0.36,-1.5943,264948.42,595806.439,20201125,2.1862,1.09,33.4993,2.1812,1.1051,0.4822,121193.9031,6355097.48
9,000938.SZ,20201124,22.48,22.9,22.4,22.58,22.56,0.02,0.0887,253689.43,574529.261,20201124,2.0933,1.07,34.0421,2.2165,1.123,0.4745,121193.9031,6458060.3555
10,000938.SZ,20201123,22.4,22.75,22.01,22.56,22.33,0.23,1.03,261797.16,587852.834,20201123,2.1602,1.0,34.0119,2.2146,1.122,0.4749,121193.9031,6452340.1957
11,000938.SZ,20201120,22.36,22.83,22.21,22.33,22.28,0.05,0.2244,250304.56,562037.82,20201120,2.0653,0.74,33.6652,2.192,1.1106,0.4798,121193.9031,6386558.3586
12,000938.SZ,20201119,21.96,22.43,21.8,22.28,22.23,0.05,0.2249,232743.58,517077.68,20201119,1.9204,0.68,33.5898,2.1871,1.1081,0.4809,121193.9031,6372257.9593
13,000938.SZ,20201118,22.56,22.71,22.22,22.23,22.56,-0.33,-1.4628,213485.25,479315.652,20201118,1.7615,0.57,33.5144,2.1822,1.1056,0.482,121193.9031,6357957.5599
14,000938.SZ,20201117,22.71,22.8,22.23,22.56,22.86,-0.3,-1.3123,224674.51,505341.208,20201117,1.8538,0.52,34.0119,2.2146,1.122,0.4749,121193.9031,6452340.1957
15,000938.SZ,20201116,22.33,23.32,21.9,22.86,22.46,0.4,1.7809,392056.91,886289.726,20201116,3.235,0.83,34.4642,2.244,1.137,0.4687,121193.9031,6538142.592
16,000938.SZ,20201113,22.37,22.74,20.9,22.46,22.85,-0.39,-1.7068,621377.03,1360235.673,20201113,5.1271,1.39,33.8612,2.2048,1.1171,0.477,121193.9031,6423739.397
17,000938.SZ,20201112,22.9,23.06,22.55,22.85,22.66,0.19,0.8385,256705.74,585597.601,20201112,2.1181,0.5,34.4491,2.243,1.1365,0.4689,121193.9031,6535282.5121
18,000938.SZ,20201111,23.3,23.32,22.65,22.66,23.62,-0.96,-4.0644,388623.42,888381.091,20201111,3.2066,0.81,34.1627,2.2244,1.127,0.4728,121193.9031,6480940.9945
